Category: All categories

City,Super Smash Bros. Melee: (1/1/04 - 4/23/18)
San Diego,100
Monterrey,100
Seattle,86
Los Angeles,82
Philadelphia,80
Boston,78
Toronto,78
Montreal,75
San Francisco,65
Chicago,62
Houston,61
New York,61
Santiago,58
Atlanta,57
Washington,54
Dallas,51
Mexico City,40
Osaka,39
London,17
Paris,16
